,adult,budget,genres,id,original_language,original_title,overview,popularity,production_companies,runtime,spoken_languages,status,vote_average,vote_count
40780,False,0,"[{'id': 35, 'name': 'Comedy'}]",414771,he,The Last Band In Lebanon,A comedy about three military band reservists who wake to discover that the Israeli army has withdrawn from Lebanon and left them behind.,0.49439,"[{'name': 'United King Films', 'id': 16}]",98.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,0.0,0.0
31617,False,0,"[{'id': 53, 'name': 'Thriller'}]",191094,en,The Employer,"Five highly qualified applicants interview for a coveted job with the Carcharias Corporation, a powerful conglomerate whose business practices are shrouded in mystery. On the night before the last round of interviews, they are all kidnapped and drugged. The next day, they wake up trapped together in a locked room without any hope of escape. Soon the true nature of their situation is revealed when they receive a phone call from the mysterious CEO of Carcharias, known only as The Employer. He informs them that they are about to experience the final interview, but it's not at all what they were expecting.",1.903961,[],85.0,[],Released,3.5,12.0
5137,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",41756,en,30 YEARS TO LIFE,"First of all, the title does not refer to someone sentenced to jail. It is a movie about 6 lifetime friends who are all hitting the big `3-0' together during the same year. Each one looks inside themselves to see where has my life gone and what am I going to do with my future. Actually, what I saw was a black Seinfeld comedy. Tracy Morgan, who is one of the main characters, is a struggling comedian just like Jerry Seinfeld. He gives his opinion of what women want in a man in one of his comedy routines. Melissa De Sousa is looking for a man before time runs out. She is just like Elaine in Seinfeld. I don't remember the big problem with turning thirty, however, all the characters in this movie can show you what they are, such as not having fame, riches, a husband, a thin body, and staying young. Their life stories are probably repeated many times around the world.",0.086622,[],0.0,[],Released,6.0,1.0
37470,False,0,"[{'id': 99, 'name': 'Documentary'}]",347835,en,The Real Miyagi,The life of the greatest karate master of a generation.,0.482773,"[{'name': 'Love Project Films', 'id': 57505}]",90.0,[],Released,6.8,4.0
32194,False,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",318042,en,B-Movie: Lust & Sound in West-Berlin,Documentary about the wild music scene in West Berlin between 1979 and 1989.,1.2224899999999999,"[{'name': 'Scenes From', 'id': 64730}, {'name': 'DEF Media', 'id': 64731}, {'name': 'Interzone Pictures', 'id': 64732}]",94.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,8.4,9.0
36649,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",44351,en,Rabbits,"A story of a group of humanoid rabbits and their depressive, daily life. The plot includes Suzie ironing, Jane sitting on a couch, Jack walking in and out of the apartment, and the occasional solo singing number by Suzie or Jane. At one point the rabbits also make contact with their “leader”.",2.607215,"[{'name': 'Lynch Films', 'id': 22047}]",42.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.1,64.0
1630,False,35000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8197,en,Midnight in the Garden of Good and Evil,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",5.145907,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Malpaso Company', 'id': 15298}]",155.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.3,161.0
18318,False,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",56761,en,Reagan,"Based on the story of Americas enigmatic career of one of the revered architects of the modern world - icon, screen star, and two-term president, Ronald Reagan.",0.190137,[],0.0,[],Released,5.2,5.0
19692,False,0,"[{'id': 99, 'name': 'Documentary'}]",164753,en,Pumping Iron II: The Women,"PUMPING IRON II: THE WOMEN, a film that is changing the way the world views the female physique-creating ""a new definition of the female form."" Join four women as they prepare for the 1983 Caesars Palace World Cup Championship: the sultry and curvaceous Rachel McLish, the current champion; the almost manly, super-muscular Bev Francis, Rachel's toughest competition; and newcomers Lori Bowen and Carla Dunlap.",0.138214,[],107.0,[],Released,8.0,1.0
19921,False,0,"[{'id': 28, 'name': 'Action'}]",18741,cn,龍騰虎躍,"A pair of evil kung-fu artists, Heaven and Earth, are slaughtering the entire Yin-Yang brotherhood.",2.017198,"[{'name': 'Golden Harvest Company Ltd.', 'id': 6379}, {'name': 'Lo Wei Motion Picture Company', 'id': 8039}]",92.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,6.5,11.0
349,False,0,"[{'id': 18, 'name': 'Drama'}]",29973,en,Cobb,"Al Stump is a famous sports-writer chosen by Ty Cobb to co-write his official, authorized 'autobiography' before his death. Cobb, widely feared and despised, feels misunderstood and wants to set the record straight about 'the greatest ball-player ever,' in his words.",2.5833630000000003,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Alcor Films', 'id': 644}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Aleor Films', 'id': 16823}]",128.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.1,29.0
32747,False,0,"[{'id': 18, 'name': 'Drama'}]",288585,da,Stille hjerte,"The prestigious Danish filmmaker Bille August, winner of an Academy Award and two Palme d'Or in Cannes, returns with a highly personal drama. Three generations of a family gather over a weekend. The sisters Sanne and Heidi have accepted their terminally-ill mother’s desire to die before her disease worsens; but, as the weekend progresses, their mother's decision becomes harder and harder to deal with, and old conflicts come to the surface.",1.872988,"[{'name': 'SF Film Production ApS', 'id': 49069}]",98.0,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,6.2,16.0
16107,False,12000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",44571,en,The King of Fighters,"The King of Fighters movie will introduce a new science fiction spin into the setting established in the games universe by following the surviving members of three legendary fighting clans who are continually whisked away to other dimensions by an evil power. As the fighters enter each new world they battle that universes native defenders, while the force that brought them seeks to find a way to invade and infect our world.",1.4954,"[{'name': 'Micott & Basara K.K.', 'id': 7414}, {'name': 'Inferno International', 'id': 7415}, {'name': 'Convergence Entertainment', 'id': 7417}, {'name': 'KOF Film Productions', 'id': 7418}, {'name': 'Scion Films', 'id': 7419}]",93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,3.9,25.0
32889,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",342474,en,Jenny's Wedding,"Jenny Farrell is getting married. But how will her straight-laced family react when they find out that the woman they thought was their daughter’s roommate is actually her fiancée? As the old-fashioned Farrells attempt to come to terms with the prospect of a surprise daughter-in-law, they face a difficult choice: either adapt with the times or risk being left behind.",4.886524,"[{'name': 'MM Productions', 'id': 14193}, {'name': 'Merced Media Partners', 'id': 45358}, {'name': 'PalmStar Media', 'id': 49152}]",94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.3,145.0
11873,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",32004,en,The Wedding Night,"While working on a novel in his country home in Connecticut, married writer Tony Barrett (Cooper) becomes attracted to Manya (Sten), the daughter of a neighboring farmer. Manya is unhappily engaged to Frederik (Bellamy). Due to a snowstorm, Tony and Manya are trapped together in his house overnight. The next day, Manya's father insists her wedding to Frederik take place in spite of Manya's misgivings. Drunkenness and jealousy result in tragedy at the wedding reception that night.",0.567427,"[{'name': 'Howard Productions', 'id': 14925}, {'name': 'Samuel Goldwyn Company, The', 'id': 28205}]",83.0,"[{'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,7.5,2.0
39411,False,1200000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",184710,en,Quarantine L.A.,Seven strangers try to survive in the aftermath of a devastating outbreak. They must band together to escape from an isolated Los Angeles that has been hit by a virus that dramatically alters infected humans.,0.70729,"[{'name': 'Magic Elevator', 'id': 14019}]",75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.0,11.0
391,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",28732,en,Fall Time,"Three young men decide to plan a mock kidnapping, but everything goes wrong because a real bank robbery was already planned by two other guys.",1.108494,"[{'name': 'Live Entertainment', 'id': 285}, {'name': 'Capitol Films', 'id': 826}, {'name': 'Bates Entertainmant', 'id': 16835}]",88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.3,6.0
34193,False,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",124393,en,L'altro inferno,A modern priest investigates nuns' claims that the Devil is present in their nunnery.,0.694984,"[{'name': 'Cinemec Produzione', 'id': 12724}]",88.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,3.7,3.0
44336,False,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",448449,en,Whitney: Can I Be Me,The life and tragic death of Whitney Houston.,3.250568,[],105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.1,57.0
33586,False,0,"[{'id': 35, 'name': 'Comedy'}]",325848,fr,"Connasse, Princesse des cœurs","Thirty-year-old Camilla, born a bitch, realizes that she doesn't have the life she deserves and decides that the only destiny worthy of her is that of a royal princess.",4.476741,"[{'name': 'LGM Productions', 'id': 2490}]",80.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,5.9,215.0
31014,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",328448,en,Dial a Prayer,"A troubled young woman working at a prayer call center makes a difference in other people's lives, forcing her to reconcile with her troubled past with the faith she brings out in others.",1.964488,[],98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.6,15.0
13656,False,0,"[{'id': 18, 'name': 'Drama'}]",48116,ro,Legături bolnăvicioase,"Love. It just happens. No rules. It may look sick, but it's deep and it hurts. For everyone, Alex and Kiki are just good friends. They happen to be two girls experiencing another kind of love. For their family, Kiki and Sandu are sister and brother who sometimes fight. They happen to be lovers. Love Sick is about their stories.",1.1427209999999999,"[{'name': 'Libra Film', 'id': 11191}, {'name': 'Multimedia Est', 'id': 13020}]",86.0,"[{'iso_639_1': 'ro', 'name': 'Română'}]",Released,6.9,16.0
30710,False,0,"[{'id': 27, 'name': 'Horror'}]",172457,en,Afterparty,"Martin (Luis Fernandez) is the star of ""Camp Blood"", a hit TV show and one of the biggest teen idols of the time. One morning wake up locked in a huge house after a wild party with three girls I met last night. Through a mobile from which can´t call, start receiving videos showing the deaths of younger locked in the house, run by a mysterious figure dressed as the murderer who appears in the series starring Martin.",0.716834,"[{'name': 'Álvaro Agustín', 'id': 63716}]",80.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Post Production,3.9,10.0
31168,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",42554,en,Accused at 17,A teenager is accused of murdering a classmate and claims that she was framed by her best friend. Her mother must try to find the truth.,0.477627,"[{'name': 'Lifetime', 'id': 3431}]",90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.9,5.0
41157,False,0,"[{'id': 35, 'name': 'Comedy'}]",74593,en,Bill Cosby: 49,"In this concert film, Bill Cosby muses on his nearing the big 5-0 and how that age affects men, their wives, and their children.",0.071716,[],67.0,[],Released,0.0,1.0
43492,False,0,"[{'id': 35, 'name': 'Comedy'}]",123611,tr,Tokatçı,,0.567282,[],0.0,[],Released,7.6,5.0
378,False,63000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",12160,en,Wyatt Earp,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.",9.277147,"[{'name': 'Tig Productions', 'id': 335}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Kasdan Pictures', 'id': 13040}, {'name': 'Paragon Entertainment Corp.', 'id': 24217}]",191.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.5,203.0
31615,False,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",273084,en,Bipolar,"When Harry Poole tries out a new medication for Bipolar Disorder, he is reborn as ""Edward Grey"", a seductive but dangerous alter ego who dramatically takes over his life, changing the young man and those around him forever.",0.543602,[],80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,9.0,1.0
44759,False,0,[],407173,en,For Love and Honor,"When a recently retired military officer Colonel is tapped by his old friend to take over the military division to help save declining Stone Creek Academy, he immediately clashes with academics dean, a civilian woman whose ""touchy-feely"" methods are at complete odds with his.",0.091984,[],84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,0.0,0.0
17264,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",58446,en,Daydream Nation,"Forced to move to a boring backwater town, a teenager embarks on affairs with a teacher and a stoner classmate.",5.116632,"[{'name': 'Lila 9th Productions', 'id': 7633}]",98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.8,65.0
21223,False,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",132064,en,Vile,"A group of attractive young people (of course) awaken to find themselves prisoners in a mysterious house with no means of escape. They are each outfitted with new accouterments--electronic devices attached to the base of their skulls--and a recording on a television screen alerts them of their task. In order to escape, they must hurt themselves and each other. The chemicals that the brain produces when in pain are collected by the devices, and when it collects a predetermined amount, the doors will be opened. Fail to do it in time, and everybody dies.",5.003941,"[{'name': 'Tony-Seven Films', 'id': 21609}]",90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.8,51.0
11212,False,0,"[{'id': 18, 'name': 'Drama'}]",22238,he,Ha-Kala Ha-Surit,"In Majdal Shams, the largest Druze village in Golan Heights on the Israeli-Syrian border, the Druze bride Mona is engaged to get married with Tallel, a television comedian that works in the Revolution Studios in Damascus, Syria. They have never met each other because of the occupation of the area by Israel since 1967; when Mona moves to Syria, she will lose her undefined nationality and will never be allowed to return home. Mona's father Hammed is a political activist pro-Syria that is on probation by the Israeli government. His older son Hatten married a Russian woman eight years ago and was banished from Majdal Shams by the religious leaders and his father. His brother Marwan is a wolf trader that lives in Italy. His sister Amal has two teenager daughters and has the intention to join the university, but her marriage with Amin is in crisis. When the family gathers for Mona's wedding, an insane bureaucracy jeopardizes the ceremony.",1.225592,"[{'name': 'MACT Productions', 'id': 393}, {'name': 'Eran Riklis Productions Ltd.', 'id': 2167}, {'name': 'France Cinéma Productions', 'id': 10793}, {'name': 'Neue Impuls Film', 'id': 79929}]",97.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,6.1,13.0
5873,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",41209,en,WiseGirls,A new waitress working at an Italian restaurant in New York City finds herself entangled in a mob-run underworld of drug dealing and murder.,1.435948,[],96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,5.0,8.0
39867,False,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 80, 'name': 'Crime'}]",32013,en,Hacking Democracy,"Documentary film investigating allegations of election fraud during the 2004 U.S. presidential election. Electronic voting machines count approximately 90% of America's votes in county, state and federal elections. The technology is also increasingly being used across the world, including in Canada, the United Kingdom, Europe and Latin America. The film uncovers incendiary evidence from the trash cans of Texas to the ballot boxes of Ohio, exposing secrecy, votes in the trash, hackable software and election officials rigging the presidential recount.Ultimately proving our votes can be stolen without a trace ""Hacking Democracy"" culminates in the famous 'Hursti Hack'; a duel between the Diebold voting machines and a computer hacker from Finland - with America's democracy at stake.",0.302182,"[{'name': 'Home Box Office (HBO)', 'id': 3268}]",82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.7,7.0
38441,False,0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",120872,en,The Girl and the Fox,"Ilona is a nine-year-old girl who lives in the wilderness with her mother and father. Food is running low, and when a mysterious fox starts killing their livestock, she has no choice but to track down the strange creature in order to ensure the survival of her family.",0.160435,[],6.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.2,3.0
11697,False,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",42595,it,Strategia del ragno,"Athos Magnani, a young researcher, returns to Tara, where his father was killed before his birth, at the request of Draifa. The father, also named Athos Magnani and looking exactly like the son, was killed by a fascist in 1936 -- or so says Draifa (his mistress), the town statue, and everyone in town. As the son untangles the web of lies this story is constructed from, he finds himself ensnared in the same web.",0.62167,"[{'name': 'RAI Radiotelevisione Italiana', 'id': 20091}, {'name': 'Red Film', 'id': 25286}]",100.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,7.7,9.0
42902,False,97000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",126889,en,Alien: Covenant,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world – which has its sole inhabitant the 'synthetic', David, survivor of the doomed Prometheus expedition.",72.884078,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Brandywine Productions', 'id': 19747}, {'name': 'TSG Entertainment', 'id': 22213}]",122.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.7,2677.0
43735,False,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",134632,en,Monster High: Ghouls Rule,"Monster High: Ghouls Rule unearths an old conflict between ""Normies"" and monsters - and things are about to get scary! For years, students at Monster High were warned that Halloween was a night to stay inside and avoid conflict at all costs. But Frankie and her friends discover that ghouls and ""Normies"" once loved to spend the holiday together! The ghouls decide to turn back the clock and use the night to celebrate their individuality and show that it's okay to ""Be Yourself. Be Unique. Be a Monster!""",5.298815,"[{'name': 'Mattel Entertainment', 'id': 49983}]",70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.6,16.0
44668,False,0,[],104477,fr,Après le Bal,A woman arrives home after the ball. Her servant helps her undress and bathe. Arguably the first adult film ever made.,0.782131,"[{'name': 'Star-Film', 'id': 7159}]",1.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,4.8,16.0
